,0,1
10,36NPEs4S7ik50NrlzaqoIJ,"['Mark Dinning', '1960', 'Teen Angel', {'danceability': 0.57, 'energy': 0.0636, 'key': 0, 'loudness': -18.548, 'mode': 1, 'speechiness': 0.0459, 'acousticness': 0.936, 'instrumentalness': 0, 'liveness': 0.122, 'valence': 0.282, 'tempo': 101.517, 'type': 'audio_features', 'id': '36NPEs4S7ik50NrlzaqoIJ', 'uri': 'spotify:track:36NPEs4S7ik50NrlzaqoIJ', 'track_href': 'https://api.spotify.com/v1/tracks/36NPEs4S7ik50NrlzaqoIJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/36NPEs4S7ik50NrlzaqoIJ', 'duration_ms': 159893, 'time_signature': 4}]"
11,4LJcNiq2pBb8OeqrGdBJQw,"['Brenda Lee', '1960', ""I'm Sorry"", {'danceability': 0.558, 'energy': 0.223, 'key': 10, 'loudness': -12.362, 'mode': 1, 'speechiness': 0.0299, 'acousticness': 0.868, 'instrumentalness': 0.000972, 'liveness': 0.13, 'valence': 0.303, 'tempo': 101.711, 'type': 'audio_features', 'id': '4LJcNiq2pBb8OeqrGdBJQw', 'uri': 'spotify:track:4LJcNiq2pBb8OeqrGdBJQw', 'track_href': 'https://api.spotify.com/v1/tracks/4LJcNiq2pBb8OeqrGdBJQw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4LJcNiq2pBb8OeqrGdBJQw', 'duration_ms': 161547, 'time_signature': 3}]"
12,4ZiDhG5Ift5I6reAEOBBec,"['Brenda Lee', '1960', ""Sweet Nothin's"", {'danceability': 0.778, 'energy': 0.413, 'key': 5, 'loudness': -10.551, 'mode': 1, 'speechiness': 0.0514, 'acousticness': 0.642, 'instrumentalness': 0.00104, 'liveness': 0.148, 'valence': 0.961, 'tempo': 125.235, 'type': 'audio_features', 'id': '4ZiDhG5Ift5I6reAEOBBec', 'uri': 'spotify:track:4ZiDhG5Ift5I6reAEOBBec', 'track_href': 'https://api.spotify.com/v1/tracks/4ZiDhG5Ift5I6reAEOBBec', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4ZiDhG5Ift5I6reAEOBBec', 'duration_ms': 144600, 'time_signature': 4}]"
13,3i32qvP2ZwGz7VmOA1XzQD,"['Brenda Lee', '1960', 'I Want to Be Wanted', {'danceability': 0.546, 'energy': 0.296, 'key': 7, 'loudness': -13.997, 'mode': 1, 'speechiness': 0.0315, 'acousticness': 0.753, 'instrumentalness': 0.00355, 'liveness': 0.124, 'valence': 0.263, 'tempo': 105.649, 'type': 'audio_features', 'id': '3i32qvP2ZwGz7VmOA1XzQD', 'uri': 'spotify:track:3i32qvP2ZwGz7VmOA1XzQD', 'track_href': 'https://api.spotify.com/v1/tracks/3i32qvP2ZwGz7VmOA1XzQD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3i32qvP2ZwGz7VmOA1XzQD', 'duration_ms': 192520, 'time_signature': 3}]"
14,1aTHBOr0V8XnbgHSRPyJtg,"['Brenda Lee', '1960', ""That's All You Gotta Do"", {'danceability': 0.405, 'energy': 0.57, 'key': 1, 'loudness': -7.919, 'mode': 1, 'speechiness': 0.042, 'acousticness': 0.43, 'instrumentalness': 5.09e-06, 'liveness': 0.238, 'valence': 0.956, 'tempo': 195.855, 'type': 'audio_features', 'id': '1aTHBOr0V8XnbgHSRPyJtg', 'uri': 'spotify:track:1aTHBOr0V8XnbgHSRPyJtg', 'track_href': 'https://api.spotify.com/v1/tracks/1aTHBOr0V8XnbgHSRPyJtg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1aTHBOr0V8XnbgHSRPyJtg', 'duration_ms': 148973, 'time_signature': 4}]"
15,2amlWbDFBNfQyoHy7mIMnZ,"['Brenda Lee', '1961', 'Dum Dum', {'danceability': 0.691, 'energy': 0.618, 'key': 6, 'loudness': -6.678, 'mode': 1, 'speechiness': 0.154, 'acousticness': 0.831, 'instrumentalness': 0, 'liveness': 0.136, 'valence': 0.682, 'tempo': 126.533, 'type': 'audio_features', 'id': '2amlWbDFBNfQyoHy7mIMnZ', 'uri': 'spotify:track:2amlWbDFBNfQyoHy7mIMnZ', 'track_href': 'https://api.spotify.com/v1/tracks/2amlWbDFBNfQyoHy7mIMnZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2amlWbDFBNfQyoHy7mIMnZ', 'duration_ms': 146173, 'time_signature': 4}]"
16,6sEzDVlcfYn2akvtzUitrb,"['Brenda Lee', '1961', 'You Can Depend on Me', {'danceability': 0.563, 'energy': 0.153, 'key': 11, 'loudness': -13.87, 'mode': 1, 'speechiness': 0.0272, 'acousticness': 0.857, 'instrumentalness': 0.00193, 'liveness': 0.085, 'valence': 0.335, 'tempo': 92.487, 'type': 'audio_features', 'id': '6sEzDVlcfYn2akvtzUitrb', 'uri': 'spotify:track:6sEzDVlcfYn2akvtzUitrb', 'track_href': 'https://api.spotify.com/v1/tracks/6sEzDVlcfYn2akvtzUitrb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6sEzDVlcfYn2akvtzUitrb', 'duration_ms': 214520, 'time_signature': 3}]"
17,5JccvAiwcZ7n3urnXqWPsG,"['Brenda Lee', '1962', 'Break It to Me Gently', {'danceability': 0.539, 'energy': 0.26, 'key': 0, 'loudness': -10.414, 'mode': 0, 'speechiness': 0.0268, 'acousticness': 0.588, 'instrumentalness': 0, 'liveness': 0.134, 'valence': 0.492, 'tempo': 92.032, 'type': 'audio_features', 'id': '5JccvAiwcZ7n3urnXqWPsG', 'uri': 'spotify:track:5JccvAiwcZ7n3urnXqWPsG', 'track_href': 'https://api.spotify.com/v1/tracks/5JccvAiwcZ7n3urnXqWPsG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5JccvAiwcZ7n3urnXqWPsG', 'duration_ms': 164000, 'time_signature': 3}]"
18,33aC0VE93PEf6dAqYOobRN,"['Brenda Lee', '1962', 'Everybody Loves Me But You', {'danceability': 0.659, 'energy': 0.0957, 'key': 7, 'loudness': -15.826, 'mode': 1, 'speechiness': 0.0384, 'acousticness': 0.873, 'instrumentalness': 9.08e-06, 'liveness': 0.405, 'valence': 0.491, 'tempo': 107.004, 'type': 'audio_features', 'id': '33aC0VE93PEf6dAqYOobRN', 'uri': 'spotify:track:33aC0VE93PEf6dAqYOobRN', 'track_href': 'https://api.spotify.com/v1/tracks/33aC0VE93PEf6dAqYOobRN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/33aC0VE93PEf6dAqYOobRN', 'duration_ms': 150360, 'time_signature': 3}]"
19,78HTdAIfx2UBmFWZN4s7A6,"['Brenda Lee', '1963', 'Losing You', {'danceability': 0.384, 'energy': 0.303, 'key': 4, 'loudness': -9.288, 'mode': 1, 'speechiness': 0.027, 'acousticness': 0.516, 'instrumentalness': 0, 'liveness': 0.185, 'valence': 0.269, 'tempo': 110.75, 'type': 'audio_features', 'id': '78HTdAIfx2UBmFWZN4s7A6', 'uri': 'spotify:track:78HTdAIfx2UBmFWZN4s7A6', 'track_href': 'https://api.spotify.com/v1/tracks/78HTdAIfx2UBmFWZN4s7A6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/78HTdAIfx2UBmFWZN4s7A6', 'duration_ms': 154173, 'time_signature': 3}]"
